Trade Id,Direction,Entry Date,Exit Date,Entry Price (EUR),Exit Price (EUR),PnL (%),PnL (EUR),Entry Signal Prob.,Exit Signal Prob.,Status,Exit Reason,Duration (Days)
0,Long,2025-10-02,2025-10-08,0.8523,0.8581,0.6814,681.3742,0.5924,0.4405,Closed,Signal,6
1,Short,2025-10-08,2025-10-15,0.8581,0.8620,-0.4534,-453.4205,0.4405,0.6173,Closed,Signal,7
2,Long,2025-10-15,2025-10-16,0.8620,0.8587,-0.3824,-382.4125,0.6173,0.3459,Closed,Signal,1
3,Short,2025-10-16,2025-10-17,0.8587,0.8548,0.4552,455.1930,0.3459,0.6196,Closed,Signal,1
4,Long,2025-10-17,2025-10-22,0.8548,0.8621,0.8567,856.7314,0.6196,0.3880,Closed,Signal,5
5,Short,2025-10-22,2025-10-23,0.8621,0.8615,0.0690,68.9918,0.3880,0.6227,Closed,Signal,1
6,Long,2025-10-23,2025-10-24,0.8615,0.8608,-0.0825,-82.5416,0.6227,0.3821,Closed,Signal,1
7,Short,2025-10-24,2025-10-28,0.8608,0.8581,0.3108,310.7753,0.3821,0.5760,Closed,Signal,4
8,Long,2025-10-28,2025-10-28,0.8581,0.8581,0.0000,0.0000,0.5760,0.5760,Open,Signal,0
