,Model 8
Start,2025-10-02 00:00:00
End,2025-10-28 00:00:00
Period,19 days 00:00:00
Start Value,100000.0
End Value,101431.14786108208
Total Return [%],1.4311478610820776
Benchmark Return [%],0.6846461670433568
Max Gross Exposure [%],101.1607954063996
Total Fees Paid,0.0
Max Drawdown [%],0.5320988024348174
Max Drawdown Duration,7 days 00:00:00
Total Trades,3
Total Closed Trades,2
Total Open Trades,1
Open Trade PnL,-77.58140843479487
Win Rate [%],100.0
Best Trade [%],1.1378842191602745
Worst Trade [%],0.37084505035659815
Avg Winning Trade [%],0.7543646347584363
Avg Losing Trade [%],
Avg Winning Trade Duration,6 days 12:00:00
Avg Losing Trade Duration,
Profit Factor,inf
Expectancy,754.3646347584363
Sharpe Ratio,5.038647051091851
Calmar Ratio,58.988472024185334
Omega Ratio,1.934165003512286
Sortino Ratio,10.042653286688035
Avg. Risk/Reward Ratio,inf
